cct,Plantel,control,dummy_privado,pca7,cp2,cp3,cp4,cp5,cp6,cp7,pca17,promedio_esp,enlace,estado,dummy_México,dummy_Veracruz,dummy_Durango,dummy_Jalisco,dummy_Quintana_Roo,dummy_Baja_California_Sur,dummy_Puebla,dummy_Querétaro,dummy_Tabasco,dummy_Ciudad_de_México,dummy_Coahuila,dummy_Tamaulipas,dummy_Colima,dummy_Sinaloa,dummy_Guanajuato,dummy_Sonora,dummy_Morelos,dummy_Nuevo_León,dummy_Chihuahua,dummy_Hidalgo,dummy_Aguascalientes,dummy_Michoacán,dummy_Baja_California,dummy_Nayarit,dummy_Tlaxcala,dummy_San_Luis_Potosí,dummy_Guerrero,dummy_Oaxaca,dummy_Campeche,dummy_Chiapas,dummy_Zacatecas,dummy_Yucatan
01PBH0018Q,I. AGUASCALIENTES,privado,1,1.411460376316350,-0.178344005464732,0.665458942277387,0.64394633292572600,0.17024159480961600,-1.0484093411125900,0.34347520162539600,2.5098993049690300,0.294587435861212,1.38412387803636,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01PBH0034H,E .DE LA CD. DE AGUASCALIENTES,privado,1,-0.13585805987845400,0.29159793989154500,-0.137293587446948,0.18189920325726,3.57020668495195E-02,-0.13515597235372500,0.15046604164044900,1.40356696784199,0.979993292547619,1.69165547169048,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01PBH0036F,CTRO. ESCOLAR EL ENCINO,privado,1,-0.18464716478908800,0.56398793169148100,3.27573877136084E-02,-0.22297627258955300,-1.80962920118884E-02,-0.12305678691997,-0.14436912002152500,0.41412978378654300,0.571491662592593,2.28633962185185,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
02DBH0001K,EPF LAZARO CARDENAS,publico,0,16.3312768653538,7.8289937687192800,2.8789295277077900,11.7272425827892,-7.2181998796342900,-5.2574191836474200,-5.7998320022777700,16.0445338627292,1.28858275892862,1.77474914499806,Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
02PBH3391P,"I. MEXICO DE B. CALIF.,TIJUANA",privado,1,1.1244669765114900,0.129022184710812,0.337434103550253,0.48877412874113500,0.51119567158571600,-0.54942180371245700,0.88043483123661900,3.636406788073910,0.961551355464968,2.30141879898089,Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03PBH3522Q,BACH. I. CULTURAL BALDOR,privado,1,-0.50596620199360900,-0.28959750208343100,0.16717117093727200,0.33258189237135800,0.13202342045071900,-0.387218978706387,0.17314266068129900,1.1010222680000000,0.560581448636364,1.5345,Baja California Sur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03PCB0003R,I. MAR DE CORTES,privado,1,0.86628251869712500,-0.16207490843119600,0.22363076154144800,0.291919528266749,0.77815368943019700,-1.41694273315883,-0.46253247294963800,2.0727113530000000,1.42807823125,2.8956939625,Baja California Sur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05PBH0027U,LICEO FREINET A.C.,privado,1,0.3385252579113140,-8.5708261058267E-02,0.21224636810296200,0.26272161032774400,-0.267044151524024,-0.48740567732803200,0.63650241467111100,3.049884850659590,1.32147649,2.69929671590909,Coahuila,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05PBH0153R,"C. AMERICANO, TORREON",privado,1,4.5462031048485600,-0.63886485301319400,2.31792958498345,-4.66032225178988E-02,1.3291445985296800,-4.2642146855287700,-0.37624099271883800,7.1382815292283000,1.31800115473684,2.8385,Coahuila,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05PBH0172F,C. CERVANTES DE TORREON,privado,1,0.72159397865078900,0.75302930999790600,0.24657007578005700,-1.4709663508869400,-0.57046583204035400,-0.14136021022612800,0.93502952488776600,1.440606016843890,1.3896669180303,3.2543,Coahuila,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
